RequirementCode|RequirementTitle|RequirementDesc|RequirementCategory|Telemetry|Control|Metric|ValueFormula|Interpretation|IndustryBench|Regulation|Rule|Geography|BaselineFlag
CA-003|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|AB 2013 §22756|Risk & Compliance|YES|Transparency|ai.risk.doc_completeness_gap_pct|max(0, 100 - ai.transparency.doc_completeness)|Your documentation gap is {value}%. Lower values indicate stronger transparency evidence.|20.0|California AI Laws|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|US-CA|Baseline
CA-003|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|AB 2013 §22756|Risk & Compliance|YES|Transparency|ai.transparency.doc_completeness|(completed_doc_sections / required_doc_sections) * 100|AB 2013 §22756|80.0|California AI Laws|Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods.|US-CA|Baseline
CA-004|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|AB 2013 §22756(b)|Risk & Compliance|NO|Model Cards and Dataset Documentation|NO_METRIC|NO_FORMULA|AB 2013 §22756(b)|N/A|California AI Laws|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|US-CA|Not Baseline
CA-004|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|AB 2013 §22756(b)|Risk & Compliance|NO|Personal Data|ai.privacy.consent_rate|(consented_records / required_consent_records) * 100|AB 2013 §22756(b)|N/A|California AI Laws|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|US-CA|Not Baseline
CA-004|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|AB 2013 §22756(b)|Risk & Compliance|NO|Personal Data|ai.privacy.dsr_response_time|mean(days_from_request_to_response)|AB 2013 §22756(b)|N/A|California AI Laws|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|US-CA|Not Baseline
CA-004|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|AB 2013 §22756(b)|Risk & Compliance|NO|Record-Keeping|ai.records.audit_log_integrity|(verified_log_entries / total_log_entries) * 100|AB 2013 §22756(b)|N/A|California AI Laws|Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information.|US-CA|Not Baseline
CA-005|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|SB 53 §22603(a)|Risk & Compliance|NO|Executive Commitment|NO_METRIC|NO_FORMULA|SB 53 §22603(a)|N/A|California AI Laws|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|US-CA|Baseline
CA-005|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|SB 53 §22603(a)|Risk & Compliance|YES|Risk Framework|ai.transparency.doc_completeness|(completed_doc_sections / required_doc_sections) * 100|SB 53 §22603(a)|80.0|California AI Laws|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|US-CA|Baseline
CA-005|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|SB 53 §22603(a)|Risk & Compliance|NO|Safety|NO_METRIC|NO_FORMULA|SB 53 §22603(a)|N/A|California AI Laws|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|US-CA|Not Baseline
CA-005|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|SB 53 §22603(a)|Risk & Compliance|NO|Security Governance|NO_METRIC|NO_FORMULA|SB 53 §22603(a)|N/A|California AI Laws|Developers of covered frontier AI models shall implement a written safety and security protocol governing the development and maintenance of the model.|US-CA|Baseline
CA-006|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|SB 53 §22603(b)|System Performance|NO|Incident Reporting|NO_METRIC|NO_FORMULA|SB 53 §22603(b)|N/A|California AI Laws|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|US-CA|Not Baseline
CA-006|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|SB 53 §22603(b)|System Performance|NO|Incident Analysis|NO_METRIC|NO_FORMULA|SB 53 §22603(b)|N/A|California AI Laws|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|US-CA|Not Baseline
CA-006|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|SB 53 §22603(b)|System Performance|NO|Regulatory Safety Incident Reporting 72hr|NO_METRIC|NO_FORMULA|SB 53 §22603(b)|N/A|California AI Laws|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|US-CA|Not Baseline
CA-006|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|SB 53 §22603(b)|System Performance|NO|Safety|NO_METRIC|NO_FORMULA|SB 53 §22603(b)|N/A|California AI Laws|Frontier AI developers' safety protocols shall include procedures to respond to identified safety incidents including reporting procedures to the California Attorney General.|US-CA|Not Baseline
CA-007|Frontier AI developers shall preserve a copy of the safety protocol and updates for the model's operational life and three years following decommissioning.|SB 53 §22603(c)|Risk & Compliance|NO|Lifecycle Management|NO_METRIC|NO_FORMULA|SB 53 §22603(c)|N/A|California AI Laws|Frontier AI developers shall preserve a copy of the safety protocol and updates for the model's operational life and three years following decommissioning.|US-CA|Not Baseline
CA-007|Frontier AI developers shall preserve a copy of the safety protocol and updates for the model's operational life and three years following decommissioning.|SB 53 §22603(c)|Risk & Compliance|NO|Record-Keeping|ai.records.audit_log_integrity|(verified_log_entries / total_log_entries) * 100|SB 53 §22603(c)|N/A|California AI Laws|Frontier AI developers shall preserve a copy of the safety protocol and updates for the model's operational life and three years following decommissioning.|US-CA|Not Baseline
CA-007|Frontier AI developers shall preserve a copy of the safety protocol and updates for the model's operational life and three years following decommissioning.|SB 53 §22603(c)|Risk & Compliance|NO|Safety|NO_METRIC|NO_FORMULA|SB 53 §22603(c)|N/A|California AI Laws|Frontier AI developers shall preserve a copy of the safety protocol and updates for the model's operational life and three years following decommissioning.|US-CA|Not Baseline
CHN-001|Benefits and risks With respect to the specific uses of AI, Mexico recognizes both benefits and risks in the following areas: • Command and control: under certain conditions, AI might improve the efficiency of operational decisions, but these must remain under significant human control, especially when they pertain to the use of force.|Imported from PDF source: n2510766.pdf|Risk & Compliance|NO|Risk Monitoring|ai.risk.open_high_risks|count(risks where priority=HIGH and status=OPEN)|Imported from PDF source: n2510766.pdf|N/A|China Policies|Benefits and risks With respect to the specific uses of AI, Mexico recognizes both benefits and risks in the following areas: • Command and control: under certain conditions, AI might improve the efficiency of operational decisions, but these must remain under significant human control, especially when they pertain to the use of force.|China|Not Baseline
CHN-001|Benefits and risks With respect to the specific uses of AI, Mexico recognizes both benefits and risks in the following areas: • Command and control: under certain conditions, AI might improve the efficiency of operational decisions, but these must remain under significant human control, especially when they pertain to the use of force.|Imported from PDF source: n2510766.pdf|Risk & Compliance|NO|Risk Monitoring|ai.risk.treatment_completion|(completed_treatments / planned_treatments) * 100|Imported from PDF source: n2510766.pdf|N/A|China Policies|Benefits and risks With respect to the specific uses of AI, Mexico recognizes both benefits and risks in the following areas: • Command and control: under certain conditions, AI might improve the efficiency of operational decisions, but these must remain under significant human control, especially when they pertain to the use of force.|China|Not Baseline
CHN-002|Singapore believes that artificial intelligence (AI) capabilities in the military domain, including systems enabled by AI, should be applied in a responsible manner throughout their entire life cycle and in compliance with applicable international law, in particular, international humanitarian law.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.risk.disclosure_gap_pct|max(0, 100 - ai.transparency.disclosure_rate)|Your disclosure gap is {value}%. Lower values mean closer alignment to full disclosure compliance.|10.0|China Policies|Singapore believes that artificial intelligence (AI) capabilities in the military domain, including systems enabled by AI, should be applied in a responsible manner throughout their entire life cycle and in compliance with applicable international law, in particular, international humanitarian law.|China|Not Baseline
CHN-002|Singapore believes that artificial intelligence (AI) capabilities in the military domain, including systems enabled by AI, should be applied in a responsible manner throughout their entire life cycle and in compliance with applicable international law, in particular, international humanitarian law.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|Imported from PDF source: n2510766.pdf|90.0|China Policies|Singapore believes that artificial intelligence (AI) capabilities in the military domain, including systems enabled by AI, should be applied in a responsible manner throughout their entire life cycle and in compliance with applicable international law, in particular, international humanitarian law.|China|Not Baseline
CHN-003|Conceptual and regulatory framework of the Ministry of Defence The development, deployment and application of AI by the Ministry of Defence are guided by a set of fundamental principles that ensure its safe and ethical use in compliance with national and international regulations.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.risk.disclosure_gap_pct|max(0, 100 - ai.transparency.disclosure_rate)|Your disclosure gap is {value}%. Lower values mean closer alignment to full disclosure compliance.|10.0|China Policies|Conceptual and regulatory framework of the Ministry of Defence The development, deployment and application of AI by the Ministry of Defence are guided by a set of fundamental principles that ensure its safe and ethical use in compliance with national and international regulations.|China|Not Baseline
CHN-003|Conceptual and regulatory framework of the Ministry of Defence The development, deployment and application of AI by the Ministry of Defence are guided by a set of fundamental principles that ensure its safe and ethical use in compliance with national and international regulations.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|Imported from PDF source: n2510766.pdf|90.0|China Policies|Conceptual and regulatory framework of the Ministry of Defence The development, deployment and application of AI by the Ministry of Defence are guided by a set of fundamental principles that ensure its safe and ethical use in compliance with national and international regulations.|China|Not Baseline
CHN-004|With respect to the regulatory framework, a set of standards and best practices is being developed on the development, implementation and use of AI in the military domain by the Ministry of Defence to ensure the responsible and efficient use of AI in acco rdance with national and international legal frameworks, and, in particular, in strict compliance with international humanitarian law and human rights.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.risk.disclosure_gap_pct|max(0, 100 - ai.transparency.disclosure_rate)|Your disclosure gap is {value}%. Lower values mean closer alignment to full disclosure compliance.|10.0|China Policies|With respect to the regulatory framework, a set of standards and best practices is being developed on the development, implementation and use of AI in the military domain by the Ministry of Defence to ensure the responsible and efficient use of AI in acco rdance with national and international legal frameworks, and, in particular, in strict compliance with international humanitarian law and human rights.|China|Not Baseline
CHN-004|With respect to the regulatory framework, a set of standards and best practices is being developed on the development, implementation and use of AI in the military domain by the Ministry of Defence to ensure the responsible and efficient use of AI in acco rdance with national and international legal frameworks, and, in particular, in strict compliance with international humanitarian law and human rights.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|Imported from PDF source: n2510766.pdf|90.0|China Policies|With respect to the regulatory framework, a set of standards and best practices is being developed on the development, implementation and use of AI in the military domain by the Ministry of Defence to ensure the responsible and efficient use of AI in acco rdance with national and international legal frameworks, and, in particular, in strict compliance with international humanitarian law and human rights.|China|Not Baseline
CHN-005|As concerns privacy and data protection, the massive collection and processing of data required to train AI models poses risks in terms of the protection of personal data and information security.|Imported from PDF source: n2510766.pdf|Risk & Compliance|NO|Personal Data|ai.privacy.consent_rate|(consented_records / required_consent_records) * 100|Imported from PDF source: n2510766.pdf|N/A|China Policies|As concerns privacy and data protection, the massive collection and processing of data required to train AI models poses risks in terms of the protection of personal data and information security.|China|Not Baseline
CHN-005|As concerns privacy and data protection, the massive collection and processing of data required to train AI models poses risks in terms of the protection of personal data and information security.|Imported from PDF source: n2510766.pdf|Risk & Compliance|NO|Personal Data|ai.privacy.dsr_response_time|mean(days_from_request_to_response)|Imported from PDF source: n2510766.pdf|N/A|China Policies|As concerns privacy and data protection, the massive collection and processing of data required to train AI models poses risks in terms of the protection of personal data and information security.|China|Not Baseline
CHN-006|• During the design and development phase, States must ensure that systems are trained on high -quality, representative data sets – that are based on a minimum of biases – enabling their use in full compliance with international law, norms and standards, to minimize unwanted bias.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.risk.disclosure_gap_pct|max(0, 100 - ai.transparency.disclosure_rate)|Your disclosure gap is {value}%. Lower values mean closer alignment to full disclosure compliance.|10.0|China Policies|• During the design and development phase, States must ensure that systems are trained on high -quality, representative data sets – that are based on a minimum of biases – enabling their use in full compliance with international law, norms and standards, to minimize unwanted bias.|China|Not Baseline
CHN-006|• During the design and development phase, States must ensure that systems are trained on high -quality, representative data sets – that are based on a minimum of biases – enabling their use in full compliance with international law, norms and standards, to minimize unwanted bias.|Imported from PDF source: n2510766.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|Imported from PDF source: n2510766.pdf|90.0|China Policies|• During the design and development phase, States must ensure that systems are trained on high -quality, representative data sets – that are based on a minimum of biases – enabling their use in full compliance with international law, norms and standards, to minimize unwanted bias.|China|Not Baseline
CHN-007|• To ensure protection of personal data from use by militaries, police, border enforcement, and private companies and contractors collaborating with these institutions|Imported from PDF source: n2510766.pdf|Risk & Compliance|NO|Personal Data|ai.privacy.consent_rate|(consented_records / required_consent_records) * 100|Imported from PDF source: n2510766.pdf|N/A|China Policies|• To ensure protection of personal data from use by militaries, police, border enforcement, and private companies and contractors collaborating with these institutions|China|Not Baseline
CHN-007|• To ensure protection of personal data from use by militaries, police, border enforcement, and private companies and contractors collaborating with these institutions|Imported from PDF source: n2510766.pdf|Risk & Compliance|NO|Personal Data|ai.privacy.dsr_response_time|mean(days_from_request_to_response)|Imported from PDF source: n2510766.pdf|N/A|China Policies|• To ensure protection of personal data from use by militaries, police, border enforcement, and private companies and contractors collaborating with these institutions|China|Not Baseline
CHN-008|(b) A data safeguard should be set up to make sure that AI systems comply with applicable laws and regulations when outputting sensitive personal information and important data.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.risk.disclosure_gap_pct|max(0, 100 - ai.transparency.disclosure_rate)|Your disclosure gap is {value}%. Lower values mean closer alignment to full disclosure compliance.|10.0|China Policies|(b) A data safeguard should be set up to make sure that AI systems comply with applicable laws and regulations when outputting sensitive personal information and important data.|China|Not Baseline
CHN-008|(b) A data safeguard should be set up to make sure that AI systems comply with applicable laws and regulations when outputting sensitive personal information and important data.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|Imported from PDF source: China Governance.pdf|90.0|China Policies|(b) A data safeguard should be set up to make sure that AI systems comply with applicable laws and regulations when outputting sensitive personal information and important data.|China|Not Baseline
CHN-009|(f) Service providers should increase awareness of AI risk prevention, establish and improve a real-time risk monitoring and management mechanism, and continuously track operational security risks.|Imported from PDF source: China Governance.pdf|Risk & Compliance|NO|Risk Monitoring|ai.risk.open_high_risks|count(risks where priority=HIGH and status=OPEN)|Imported from PDF source: China Governance.pdf|N/A|China Policies|(f) Service providers should increase awareness of AI risk prevention, establish and improve a real-time risk monitoring and management mechanism, and continuously track operational security risks.|China|Not Baseline
CHN-009|(f) Service providers should increase awareness of AI risk prevention, establish and improve a real-time risk monitoring and management mechanism, and continuously track operational security risks.|Imported from PDF source: China Governance.pdf|Risk & Compliance|NO|Risk Monitoring|ai.risk.treatment_completion|(completed_treatments / planned_treatments) * 100|Imported from PDF source: China Governance.pdf|N/A|China Policies|(f) Service providers should increase awareness of AI risk prevention, establish and improve a real-time risk monitoring and management mechanism, and continuously track operational security risks.|China|Not Baseline
CHN-010|(c) Developers should guarantee the security of training environment for AI model algorithms, including cybersecurity configurations and data encryption measures.|Imported from PDF source: China Governance.pdf|Security|NO|Data Security|ai.data.dlp_incident_rate|count(dlp_incidents) per month|Imported from PDF source: China Governance.pdf|N/A|China Policies|(c) Developers should guarantee the security of training environment for AI model algorithms, including cybersecurity configurations and data encryption measures.|China|Not Baseline
CHN-010|(c) Developers should guarantee the security of training environment for AI model algorithms, including cybersecurity configurations and data encryption measures.|Imported from PDF source: China Governance.pdf|Security|NO|Data Security|ai.data.encryption_coverage|(encrypted_datasets / total_datasets) * 100|Imported from PDF source: China Governance.pdf|N/A|China Policies|(c) Developers should guarantee the security of training environment for AI model algorithms, including cybersecurity configurations and data encryption measures.|China|Not Baseline
CHN-011|We make every effort to ensure AI safety, and will take timely measures to address any risks that threaten national security, harm the public interest, or infringe upon the legitimate rights and interests of individuals.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Risk Identification|ai.core.error_rate|mean(ai.core.error_rate) over 7d|Imported from PDF source: China Governance.pdf|0.05|China Policies|We make every effort to ensure AI safety, and will take timely measures to address any risks that threaten national security, harm the public interest, or infringe upon the legitimate rights and interests of individuals.|China|Baseline
CHN-011|We make every effort to ensure AI safety, and will take timely measures to address any risks that threaten national security, harm the public interest, or infringe upon the legitimate rights and interests of individuals.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Risk Identification|ai.risk.error_to_limit_ratio|ai.core.error_rate / 0.05|Your error-to-limit ratio is {value}. Values <= 1 indicate identified risk is within tolerance.|0.80|China Policies|We make every effort to ensure AI safety, and will take timely measures to address any risks that threaten national security, harm the public interest, or infringe upon the legitimate rights and interests of individuals.|China|Baseline
CHN-012|(d) Data security management should be strengthened to comply with data security and personal information protection standards and regulations if training data contains sensitive personal information and important data.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.risk.disclosure_gap_pct|max(0, 100 - ai.transparency.disclosure_rate)|Your disclosure gap is {value}%. Lower values mean closer alignment to full disclosure compliance.|10.0|China Policies|(d) Data security management should be strengthened to comply with data security and personal information protection standards and regulations if training data contains sensitive personal information and important data.|China|Not Baseline
CHN-012|(d) Data security management should be strengthened to comply with data security and personal information protection standards and regulations if training data contains sensitive personal information and important data.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Regulatory Compliance|ai.transparency.disclosure_rate|(disclosed_interactions / ai_interactions) * 100|Imported from PDF source: China Governance.pdf|90.0|China Policies|(d) Data security management should be strengthened to comply with data security and personal information protection standards and regulations if training data contains sensitive personal information and important data.|China|Not Baseline
CHN-013|6.3 Safety guidelines for users in key areas (a) For users in key sectors such as government departments, critical information infrastructure, and areas directly affecting public safety and people's health and safety, they should prudently assess the long-term and potential impacts of applying AI technology in the target application - 25 - AI Safety Governance Framework scenarios and conduct risk assessments and grading to avoid technology abuse.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Risk Identification|ai.core.error_rate|mean(ai.core.error_rate) over 7d|Imported from PDF source: China Governance.pdf|0.05|China Policies|6.3 Safety guidelines for users in key areas (a) For users in key sectors such as government departments, critical information infrastructure, and areas directly affecting public safety and people's health and safety, they should prudently assess the long-term and potential impacts of applying AI technology in the target application - 25 - AI Safety Governance Framework scenarios and conduct risk assessments and grading to avoid technology abuse.|China|Baseline
CHN-013|6.3 Safety guidelines for users in key areas (a) For users in key sectors such as government departments, critical information infrastructure, and areas directly affecting public safety and people's health and safety, they should prudently assess the long-term and potential impacts of applying AI technology in the target application - 25 - AI Safety Governance Framework scenarios and conduct risk assessments and grading to avoid technology abuse.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Risk Identification|ai.risk.error_to_limit_ratio|ai.core.error_rate / 0.05|Your error-to-limit ratio is {value}. Values <= 1 indicate identified risk is within tolerance.|0.80|China Policies|6.3 Safety guidelines for users in key areas (a) For users in key sectors such as government departments, critical information infrastructure, and areas directly affecting public safety and people's health and safety, they should prudently assess the long-term and potential impacts of applying AI technology in the target application - 25 - AI Safety Governance Framework scenarios and conduct risk assessments and grading to avoid technology abuse.|China|Baseline
CHN-014|2.3 Comprehensive governance measures In accordance with the principle of coordinated efforts and joint governance, we clarify the measures that all stakeholders, including technology research institutions, product and service providers, users, government agencies, industry associations, and social organizations, should take to identify, prevent, and respond to AI safety risks.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Risk Identification|ai.core.error_rate|mean(ai.core.error_rate) over 7d|Imported from PDF source: China Governance.pdf|0.05|China Policies|2.3 Comprehensive governance measures In accordance with the principle of coordinated efforts and joint governance, we clarify the measures that all stakeholders, including technology research institutions, product and service providers, users, government agencies, industry associations, and social organizations, should take to identify, prevent, and respond to AI safety risks.|China|Baseline
CHN-014|2.3 Comprehensive governance measures In accordance with the principle of coordinated efforts and joint governance, we clarify the measures that all stakeholders, including technology research institutions, product and service providers, users, government agencies, industry associations, and social organizations, should take to identify, prevent, and respond to AI safety risks.|Imported from PDF source: China Governance.pdf|Risk & Compliance|YES|Risk Identification|ai.risk.error_to_limit_ratio|ai.core.error_rate / 0.05|Your error-to-limit ratio is {value}. Values <= 1 indicate identified risk is within tolerance.|0.80|China Policies|2.3 Comprehensive governance measures In accordance with the principle of coordinated efforts and joint governance, we clarify the measures that all stakeholders, including technology research institutions, product and service providers, users, government agencies, industry associations, and social organizations, should take to identify, prevent, and respond to AI safety risks.|China|Baseline
CHN-015|Technological measures to address risks Responding to the above risks, AI developers, service providers, and system users should prevent risks by taking technological measures in the fields of training data, computing infrastructures, models and algorithms, product services, and application scenarios.|Imported from PDF source: China Governance.pdf|Risk & Compliance|NO|Risk Monitoring|ai.risk.open_high_risks|count(risks where priority=HIGH and status=OPEN)|Imported from PDF source: China Governance.pdf|N/A|China Policies|Technological measures to address risks Responding to the above risks, AI developers, service providers, and system users should prevent risks by taking technological measures in the fields of training data, computing infrastructures, models and algorithms, product services, and application scenarios.|China|Not Baseline
CHN-015|Technological measures to address risks Responding to the above risks, AI developers, service providers, and system users should prevent risks by taking technological measures in the fields of training data, computing infrastructures, models and algorithms, product services, and application scenarios.|Imported from PDF source: China Governance.pdf|Risk & Compliance|NO|Risk Monitoring|ai.risk.treatment_completion|(completed_treatments / planned_treatments) * 100|Imported from PDF source: China Governance.pdf|N/A|China Policies|Technological measures to address risks Responding to the above risks, AI developers, service providers, and system users should prevent risks by taking technological measures in the fields of training data, computing infrastructures, models and algorithms, product services, and application scenarios.|China|Not Baseline
CO-001|Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination.|Section 6-1-1702(1)|Risk & Compliance|YES|Risk Treatment|ai.oversight.override_rate|human_overrides / ai_decisions|Section 6-1-1702(1)|0.10|Colorado AI Act|Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination.|US-CO|Not Baseline
CO-001|Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination.|Section 6-1-1702(1)|Risk & Compliance|YES|Risk Treatment|ai.risk.override_to_target_ratio|ai.oversight.override_rate / 1.0|Your override-to-target ratio is {value}. Values >= 1 indicate treatment intervention meets target.|0.80|Colorado AI Act|Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination.|US-CO|Not Baseline
CO-001|Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination.|Section 6-1-1702(1)|Risk & Compliance|NO|Fairness and Bias Management|ai.fairness.demographic_parity|min(P(Y=1 A=a)) / max(P(Y=1 A=a)) across groups|Section 6-1-1702(1)|N/A|Colorado AI Act|Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination.|US-CO|Not Baseline
